units_0,dropout_0,units_1,dropout_1,optimizer,learning_rate,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,score,tuner/trial_id
32,0.3,64,0.1,rmsprop,0.001,3,0,2,0,0.8195121884346008,
96,0.3,32,0.2,adam,0.1,3,0,2,0,0.795121967792511,
32,0.3,96,0.4,rmsprop,0.01,3,0,2,0,0.8975609540939331,
96,0.2,96,0.5,rmsprop,0.001,3,0,2,0,0.8390243649482727,
64,0.1,64,0.3,rmsprop,0.001,3,0,2,0,0.8341463208198547,
128,0.4,32,0.1,rmsprop,0.01,3,0,2,0,0.8731707334518433,
32,0.1,64,0.4,adam,0.0001,3,0,2,0,0.5365853905677795,
32,0.1,128,0.4,adam,0.001,3,0,2,0,0.8243902325630188,
64,0.5,128,0.5,rmsprop,0.001,3,0,2,0,0.8585366010665894,
64,0.2,32,0.3,sgd,0.1,3,0,2,0,0.8292682766914368,
128,0.5,96,0.4,adam,0.001,3,0,2,0,0.8390243649482727,
96,0.4,32,0.5,sgd,0.01,3,0,2,0,0.7219512462615967,
32,0.3,96,0.4,rmsprop,0.01,7,3,2,1,0.9024389982223511,0002
128,0.4,32,0.1,rmsprop,0.01,7,3,2,1,0.9268292784690857,0005
64,0.5,128,0.5,rmsprop,0.001,7,3,2,1,0.8585366010665894,0008
96,0.2,96,0.5,rmsprop,0.001,7,3,2,1,0.8536585569381714,0003
128,0.4,32,0.1,rmsprop,0.01,20,7,2,2,0.9707317352294922,0013
32,0.3,96,0.4,rmsprop,0.01,20,7,2,2,0.9512194991111755,0012
96,0.5,64,0.5,sgd,0.1,7,0,1,0,0.8585366010665894,
96,0.1,32,0.5,rmsprop,0.001,7,0,1,0,0.8487805128097534,
96,0.3,128,0.2,sgd,0.01,7,0,1,0,0.7804877758026123,
128,0.2,64,0.1,rmsprop,0.001,7,0,1,0,0.8878048658370972,
32,0.5,96,0.3,rmsprop,0.0001,7,0,1,0,0.6097561120986938,
128,0.4,64,0.2,adam,0.0001,7,0,1,0,0.8585366010665894,
128,0.2,64,0.1,rmsprop,0.001,20,7,1,1,0.9512194991111755,0021
96,0.5,64,0.5,sgd,0.1,20,7,1,1,0.8682926893234253,0018
128,0.4,32,0.2,sgd,0.001,20,0,0,0,0.6975609660148621,
96,0.1,128,0.4,adam,0.01,20,0,0,0,1.0,
32,0.4,96,0.2,rmsprop,0.0001,20,0,0,0,0.8195121884346008,
32,0.5,128,0.3,sgd,0.0001,20,0,0,0,0.5463414788246155,
